team,games,win_rate,attack_strength,defense_strength,prestige
FC Barcelona,5,0.812,2.948,0.973,127.8
FC Internazionale Milano,4,0.616,2.107,1.188,69.0
Real Madrid CF,5,0.719,2.182,0.951,99.9
Arsenal FC,4,0.684,1.874,0.692,89.4
Real Betis Balompié,5,0.49,1.507,1.271,31.2
AS Roma,4,0.648,1.827,0.765,78.6
Manchester City FC,4,0.663,1.968,0.932,83.1
Deportivo Alavés,5,0.338,1.269,1.281,-14.4
AS Monaco FC,4,0.558,1.767,1.226,51.6
SS Lazio,4,0.48,1.406,1.131,28.2
Sevilla FC,5,0.349,1.216,1.466,-11.1
Lille OSC,4,0.568,1.581,0.961,54.6
Stade Rennais FC 1901,4,0.492,1.662,1.458,31.8
Como 1907,4,0.498,1.637,1.054,33.6
Club Atlético de Madrid,5,0.581,1.773,1.023,58.5
Borussia Dortmund,3,0.671,2.219,1.096,85.5
RC Deportivo La Coruña,5,0.344,1.4,1.28,-12.6
SC Freiburg,3,0.528,1.842,1.387,42.6
Cagliari Calcio,4,0.357,1.044,1.264,-8.7
Paris FC,4,0.362,1.373,1.208,-7.2
Olympique Lyonnais,4,0.518,1.685,1.112,39.6
Hull City AFC,4,0.364,1.29,1.14,-6.6
AC Milan,4,0.482,1.548,1.06,28.8
Leeds United FC,4,0.348,1.386,1.26,-11.4
US Sassuolo Calcio,4,0.379,1.404,1.396,-2.1
Real Racing Club de Santander,5,0.344,1.4,1.4,-12.6
Juventus FC,4,0.483,1.548,0.924,29.1
RCD Espanyol de Barcelona,5,0.338,1.293,1.299,-14.4
Brighton & Hove Albion FC,4,0.416,1.892,1.356,9.0
Real Sociedad de Fútbol,6,0.308,1.153,1.523,-23.4
FC Bayern München,3,0.595,2.422,1.077,62.7
Chelsea FC,4,0.458,1.784,1.45,21.6
RC Strasbourg Alsace,4,0.47,1.829,1.482,25.2
FC Augsburg,3,0.399,1.53,1.48,3.9
CA Osasuna,5,0.321,1.155,1.395,-19.5
Frosinone Calcio,4,0.364,1.39,1.24,-6.6
Athletic Club,5,0.411,1.281,1.148,7.5
Everton FC,4,0.302,1.187,1.14,-25.2
Atalanta BC,4,0.475,1.552,1.052,26.7
Brentford FC,4,0.366,1.624,1.347,-6.0
US Lecce,4,0.274,0.808,1.528,-33.6
SSC Napoli,4,0.594,1.562,0.937,62.4
SV 07 Elversberg,3,0.397,1.573,1.507,3.3
RB Leipzig,3,0.519,1.976,1.315,39.9
Ipswich Town FC,4,0.274,1.249,1.883,-33.6
Liverpool FC,4,0.492,1.868,1.19,31.8
Nottingham Forest FC,4,0.366,1.316,1.221,-6.0
FC Lorient,4,0.312,1.285,1.32,-22.2
Stade Brestois 29,4,0.348,1.4,1.618,-11.4
Levante UD,5,0.288,1.295,1.522,-29.4
Newcastle United FC,4,0.408,1.624,1.474,6.6
Paris Saint-Germain FC,4,0.642,2.216,1.054,76.8
Getafe CF,5,0.301,0.777,1.063,-25.5
SV Werder Bremen,3,0.293,1.289,1.626,-27.9
Rayo Vallecano de Madrid,5,0.281,1.174,1.526,-31.5
Eintracht Frankfurt,3,0.384,1.947,1.836,-0.6
Racing Club de Lens,4,0.464,1.641,1.265,23.4
ES Troyes AC,4,0.314,1.24,1.49,-21.6
1. FSV Mainz 05,3,0.334,1.518,1.348,-15.6
Bayer 04 Leverkusen,3,0.491,2.196,1.411,31.5
FC Schalke 04,3,0.331,1.24,1.307,-16.5
RC Celta de Vigo,6,0.307,1.31,1.322,-23.7
1. FC Köln,3,0.281,1.43,1.728,-31.5
Udinese Calcio,4,0.323,1.285,1.588,-18.9
Sunderland AFC,4,0.329,1.112,1.275,-17.1
Angers SCO,4,0.259,0.864,1.447,-38.1
Manchester United FC,4,0.376,1.54,1.445,-3.0
VfB Stuttgart,3,0.441,1.96,1.747,16.5
ACF Fiorentina,4,0.362,1.344,1.499,-7.2
TSG 1899 Hoffenheim,3,0.341,1.69,1.916,-13.5
Crystal Palace FC,4,0.302,1.268,1.624,-25.2
AJ Auxerre,4,0.273,1.205,1.648,-33.9
AFC Bournemouth,4,0.295,1.521,1.403,-27.3
Olympique de Marseille,4,0.494,1.893,1.397,32.4
Málaga CF,5,0.264,1.12,1.36,-36.6
Le Mans FC,4,0.264,1.39,1.44,-36.6
Torino FC,4,0.256,1.063,1.528,-39.0
Elche CF,5,0.237,1.276,1.64,-44.7
OGC Nice,4,0.276,1.221,1.42,-33.0
Toulouse FC,4,0.262,1.26,1.424,-37.2
Tottenham Hotspur FC,4,0.221,1.179,1.534,-49.5
Villarreal CF,5,0.426,1.746,1.422,12.0
Le Havre AC,4,0.186,0.928,1.621,-60.0
Parma Calcio 1913,4,0.184,0.852,1.402,-60.6
Genoa CFC,4,0.197,0.92,1.462,-56.7
SC Paderborn 07,3,0.264,1.04,1.307,-36.6
Aston Villa FC,4,0.4,1.25,1.402,4.2
1. FC Union Berlin,3,0.25,1.304,1.869,-40.8
Bologna FC 1909,4,0.328,1.221,1.249,-17.4
Fulham FC,4,0.316,1.263,1.455,-21.0
AC Monza,4,0.179,1.173,1.94,-62.1
Valencia CF,5,0.251,0.993,1.562,-40.5
Borussia Mönchengladbach,3,0.256,1.319,2.086,-39.0
Venezia FC,4,0.132,0.979,1.776,-76.2
Coventry City FC,4,0.264,1.04,1.54,-36.6
Hamburger SV,3,0.238,0.99,1.955,-44.4
